Nr.;Datum;Modus;Position(en) Anzahl;Position(en);Position(en) USt %;Zahlungsart;Netto €;Steuer €;Brutto €;Trinkgeld €;Storniert;Storno Nr.;Stornodatum;Storno Brutto €;Storno Trinkgeld €;Kunde;Kunde - Adresse;KassiererIn;Umsatzzuweisung
19139;19.10.2025 11:36;Normal;1;Tee;19;Kreditkarte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19140;19.10.2025 11:41;Normal;1;Mango- Joghurt-Crunch Torte;19;Bar;4,12;0,78;4,9;0;Nein;;;;;;;Café Team;
19141;19.10.2025 11:49;Normal;1| 1| 1;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Cappuccino, Hafermilch;19, 19, 19;EC-Karte;6,3;1,2;7,5;0;Nein;;;;;;;Café Team;
19142;19.10.2025 12:22;Normal;1| 1| 1;Cappuccino, Tee, Zitronen-Schnitte vegan;19, 19, 19;Bar;6,72;1,28;8;0;Nein;;;;;;;Café Team;
19143;19.10.2025 12:53;Normal;1| 1;Lotus Teelichalter Capiz all colours 9101, Tasse Herz, Lotus, Auge 11644;19, 19;Bar;15,12;2,88;18;0;Nein;;;;;;;Shop Team;
19144;19.10.2025 12:55;Normal;1;8 mm Sandelholz-Armband;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Shop Team;
19145;19.10.2025 13:08;Normal;1| 1| 1| 1;Heiße Schokolade, Americano, Omas Rahmkäse-Torte, Mango- Joghurt-Crunch Torte;19, 19, 19, 19;Bar;12,1;2,3;14,4;0;Nein;;;;;;;Café Team;
19146;19.10.2025 13:12;Normal;1| 1| 1| 1;Kurkuma Latte, Hafermilch, Schwarze-Johannisbeere Garten-Limonade, Himbeer Brownie, glutenfrei;19, 19, 19, 19;Kreditkarte;7,98;1,52;9,5;0;Nein;;;;;;;Café Team;
19147;19.10.2025 13:32;Normal;1| 2;Heiße Schokolade - Weiß, Filterkaffee  Tasse;19, 19;Kreditkarte;7,14;1,36;8,5;0;Nein;;;;;;;Café Team;
19148;19.10.2025 13:39;Normal;1| 1;Cappuccino, Schwarze-Johannisbeere Garten-Limonade;19, 19;EC-Karte;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19149;19.10.2025 13:42;Normal;1| 2| 2| 1| 1;Americano, Cappuccino, Hafermilch, Extra Shot, Omas Rahmkäse-Torte;19, 19, 19, 19, 19;Kreditkarte;10,92;2,08;13;0;Nein;;;;;;;Café Team;
19150;19.10.2025 13:46;Normal;1| 1| 1;Cappuccino, Latte Macchiato, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei;19, 19, 19;Kreditkarte;9,24;1,76;11;0;Nein;;;;;;;Café Team;
19151;19.10.2025 13:47;Normal;2| 1| 1;Cappuccino, Apfelsaft-Schorle, Himbeer Brownie, glutenfrei;19, 19, 19;Kreditkarte;10,08;1,92;12;0;Nein;;;;;;;Café Team;
19152;19.10.2025 13:56;Normal;1| 1;Chai Oriental, Omas Rahmkäse-Torte;19, 19;Kreditkarte;5,88;1,12;7;0;Nein;;;;;;;Café Team;
19153;19.10.2025 13:59;Normal;1| 1| 1| 2;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Himbeer Brownie, glutenfrei, Donauwelle, Latte Macchiato;19, 19, 19, 19;Bar;15,63;2,97;18,6;0;Nein;;;;;;;Café Team;
19154;19.10.2025 14:06;Normal;1;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Café Team;
19155;19.10.2025 14:07;Normal;1;Croissant, einfach;19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19156;19.10.2025 14:12;Normal;1| 2| 1;Pfirsich-Rahm-Käse-Torte, Cappuccino, Aprikosenkuchen, vegan;19, 19, 19;Bar;11,34;2,16;13,5;0;Nein;;;;;;;Café Team;
19157;19.10.2025 14:17;Normal;1| 1| 1| 2| 1;Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Aprikosenkuchen, vegan, Pfirsich-Rahm-Käse-Torte, Tee, Wasser;19, 19, 19, 19, 19;Bar;15,96;3,04;19;0;Nein;;;;;;;Café Team;
19158;19.10.2025 14:19;Normal;1;scarf...Schal  9903;19;Bar;16,81;3,19;20;0;Nein;;;;;;;Shop Team;
19159;19.10.2025 14:22;Normal;2;Cappuccino;19;Kreditkarte;5,04;0,96;6;0;Nein;;;;;;;Café Team;
19160;19.10.2025 14:28;Normal;2;Amazonit-Armband 4mm;19;Bar;8,4;1,6;10;0;Nein;;;;;;;Shop Team;
19161;19.10.2025 14:30;Normal;2;Führung;19;Bar;8,4;1,6;10;0;Nein;;;;;;;Shop Team;
19162;19.10.2025 14:31;Normal;2;Führung;19;Bar;8,4;1,6;10;0;Nein;;;;;;;Shop Team;
19163;19.10.2025 14:32;Normal;1;Führung;19;Bar;4,2;0,8;5;0;Nein;;;;;;;Shop Team;
19164;19.10.2025 14:35;Normal;1| 1;Cappuccino, Hafermilch;19, 19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19165;19.10.2025 14:36;Normal;1| 1;Cappuccino, Hafermilch;19, 19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19166;19.10.2025 14:37;Normal;1;Cappuccino;19;Bar;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19167;19.10.2025 14:52;Normal;1| 1| 1;Filterkaffee  Tasse, Latte Macchiato, Pfirsich-Rahm-Käse-Torte;19, 19, 19;Bar;8,4;1,6;10;0;Nein;;;;;;;Café Team;
19168;19.10.2025 14:53;Normal;3;Booklet: Befreiendes Gebet;7;Bar;2,8;0,2;3;0;Nein;;;;;;;Shop Team;
19169;19.10.2025 14:56;Normal;2| 1| 1;Zitronen-Schnitte vegan, Latte Macchiato, Filterkaffee  Tasse;19, 19, 19;Bar;9,24;1,76;11;0;Nein;;;;;;;Café Team;
19170;19.10.2025 14:59;Normal;2| 1| 1| 1;Americano, Erdbeer-Käse-Sahne-Schnitte , glutenfrei, laktosefrei, Pfirsich-Rahm-Käse-Torte, Hafermilch;19, 19, 19, 19;EC-Karte;11,34;2,16;13,5;0;Nein;;;;;;;Café Team;
19171;19.10.2025 15:09;Normal;2| 2| 1| 1;Kurkuma Latte, Hafermilch, Aprikosenkuchen, vegan, Pfirsich-Rahm-Käse-Torte;19, 19, 19, 19;EC-Karte;12,18;2,32;14,5;0;Nein;;;;;;;Café Team;
19172;19.10.2025 15:15;Normal;2| 2| 1| 2| 1;Milchkaffee, Donauwelle, Filterkaffee  Tasse, Pfirsich-Rahm-Käse-Torte, Latte Macchiato;19, 19, 19, 19, 19;Bar;23,69;4,51;28,2;0;Nein;;;;;;;Café Team;
19173;19.10.2025 15:18;Normal;1| 1| 2;Pfirsich-Rahm-Käse-Torte, Donauwelle, Latte Macchiato;19, 19, 19;Bar;12,27;2,33;14,6;0;Nein;;;;;;;Café Team;
19174;19.10.2025 15:23;Normal;1;Buddha Shakyamuni medium taiwanese gold 7014;19;EC-Karte;35,29;6,71;42;0;Nein;;;;;;;Shop Team;
19175;19.10.2025 15:28;Normal;1;Wurfkissen 45 x 45  9020;19;Bar;21,01;3,99;25;0;Nein;;;;;;;Shop Team;
19176;19.10.2025 15:29;Normal;1| 2| 1| 2| 1;Tee, Hafermilch, Latte Macchiato, Pfirsich-Rahm-Käse-Torte, Aprikosenkuchen, vegan;19, 19, 19, 19, 19;Bar;14,7;2,8;17,5;0;Nein;;;;;;;Café Team;
19177;19.10.2025 15:30;Normal;1;Pfirsich-Rahm-Käse-Torte;19;EC-Karte;3,36;0,64;4;0;Nein;;;;;;;Café Team;
19178;19.10.2025 15:31;Normal;1| 1;Americano, Hafermilch;19, 19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19179;19.10.2025 15:42;Normal;2| 2| 2;Americano, Apfelkuchen, vegan, Extra Sahne;19, 19, 19;Bar;10,92;2,08;13;0;Nein;;;;;;;Café Team;
19180;19.10.2025 16:00;Normal;1| 1;Cappuccino, Koffeinfrei;19, 19;EC-Karte;2,52;0,48;3;0;Nein;;;;;;;Café Team;
19181;19.10.2025 16:07;Normal;1;Americano;19;EC-Karte;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19182;19.10.2025 16:08;Normal;2| 1| 1;Americano, Zitronen-Schnitte vegan, Pfirsich-Rahm-Käse-Torte;19, 19, 19;EC-Karte;9,66;1,84;11,5;0;Nein;;;;;;;Café Team;
19183;19.10.2025 16:09;Normal;1;Espresso Macchiatto;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19184;19.10.2025 16:12;Normal;4| 2| 1| 1;Milchkaffee, Apfelkuchen, vegan, Donauwelle, Aprikosenkuchen, vegan;19, 19, 19, 19;EC-Karte;23,61;4,49;28,1;0;Nein;;;;;;;Café Team;
19185;19.10.2025 16:18;Normal;1| 1;Milchkaffee, Donauwelle;19, 19;Bar;5,97;1,13;7,1;0;Nein;;;;;;;Café Team;
19186;19.10.2025 16:39;Normal;1;Americano;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19187;19.10.2025 16:44;Normal;2| 3| 1| 5| 3;Geleitete Meditationen: Meditationen zur Entspannung - Audio, Feng Shui Kristalllotus mit Chakrakette - 10cm, Windspiel holz curved top 65cm 8024, Regenbogen-Kristalle Kugel 9717, Feng Shui Kristalle Sterne und Einheit Fensterdekoration - 23,5cm;7, 19, 19, 19, 19;EC-Karte;117,38;19,62;137;0;Nein;;;;;;;Shop Team;
19188;19.10.2025 16:46;Normal;2| 1;Cappuccino, Apfelkuchen, vegan;19, 19;Bar;7,98;1,52;9,5;0;Nein;;;;;;;Café Team;
19189;19.10.2025 16:47;Normal;1| 1| 1;Milchkaffee, Hafermilch, Wasser;19, 19, 19;Bar;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19190;19.10.2025 17:02;Normal;2;Linsen Chips Original 90g;7;Bar;4,67;0,33;5;0;Nein;;;;;;;Shop Team;
19191;21.10.2025 16:40;Normal;2;Samtbeutel;19;Bar;23,53;4,47;28;0;Nein;;;;;;;Shop Team;
19192;23.10.2025 20:41;Normal;3;Kunst: Dorje Shugden 4 - Minikarte;19;Bar;3,78;0,72;4,5;0;Nein;;;;;;;Shop Team;
